h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.0,0.000723538,0.066188038,0.328574955,0.470852682,0.478116328,0.470828469,0.475731233,0.475478464,0.478937948,0.47443888,0.473552158,0.442409522,0.387383461,0.71265327,0.912654044,1.0,1.0,1.0,1.0,0.972811669,0.404725324,0.355728379
0.181222461,0.18038337,0.256433308,0.514268379,0.660608415,0.722005504,0.533214756,0.576978568,0.577185924,0.574415537,0.567297606,0.57435216,0.573263886,0.606908829,0.808524055,0.996101253,1.0,1.0,0.999994848,0.798000672,0.566453246,0.0,0.244560347
0.001960448,0.0,0.100641452,0.398682597,0.490448666,0.657124926,0.486534039,0.479828515,0.484569919,0.482761794,0.482739692,0.484769185,0.482866238,0.504528584,0.843855129,1.0,1.0,1.0,0.991079373,0.501838961,0.332681736,0.131505832,0.000588885
0.170406915,0.181702285,0.201622701,0.0,0.545739068,0.574962256,0.571703391,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.431221692,0.706529799,0.862443384,0.999919628,1.0,1.0,1.0,1.0,1.0,1.0
0.181057593,0.180277478,0.25161024,0.477293771,0.589947918,0.581570076,0.563982993,0.572855399,0.576274983,0.576097166,0.577563748,0.575941534,0.54890743,0.553988725,0.785061682,0.974712078,1.0,1.0,1.0,0.90890177,0.525416053,0.0,0.287308251
0.181193565,0.179532383,0.265890997,0.599902462,0.642294296,0.71870282,0.569549696,0.574531781,0.577105584,0.574133298,0.688474446,0.650804669,0.566472953,0.585478831,0.850810553,1.0,1.0,1.0,0.999993992,0.842939967,0.488743913,0.0,0.28677279
0.000802283,0.0,0.06385747,0.320294562,0.475745519,0.481226494,0.477396606,0.470121661,0.471484569,0.47961239,0.479462045,0.41054863,0.481792869,0.351543813,0.731952454,0.851231787,1.0,1.0,1.0,1.0,0.995957553,0.669652725,0.31652416
0.002424796,0.0,0.091744983,0.366427176,0.48641407,0.485034292,0.480025819,0.476107393,0.483395129,0.484379422,0.480694214,0.480432073,0.425827933,0.44505993,0.679585353,0.940558423,1.0,1.0,1.0,0.995627563,0.707379389,0.317950378,0.133451362
0.00010854,0.0,0.050340483,0.310792826,0.478736494,0.481181526,0.479523631,0.463441556,0.453578555,0.474926286,0.479338669,0.449333077,0.462592593,0.385964306,0.653191839,0.832299548,1.0,1.0,1.0,1.0,0.821527463,0.414537284,0.32618521
0.433654718,0.251084123,0.18178307,0.175531688,0.16710577,0.0,0.537541507,0.554615041,0.564501841,0.574810543,0.564640545,0.572731904,0.571278893,0.571086245,0.732672481,0.85868164,0.785137322,0.856489349,0.862443384,0.999569429,1.0,1.0,0.98807548
0.00064545,0.0,0.062760158,0.34652697,0.487652493,0.477138511,0.478047008,0.475150754,0.472620637,0.475935971,0.473546327,0.465495935,0.459731279,0.376619995,0.706760931,0.89646127,1.0,1.0,1.0,0.995184259,0.570101484,0.37827263,0.13182442
0.176572083,0.180400168,0.206300378,0.0,0.536871041,0.569339436,0.564285666,0.573787016,0.573705901,0.574962256,0.574962256,0.574962256,0.0,0.435979277,0.653717915,0.862443384,0.99915792,1.0,1.0,1.0,1.0,1.0,0.925115319
0.178146199,0.181005467,0.200759949,0.0,0.475818979,0.570036431,0.568164159,0.574962256,0.574962256,0.574962256,0.571215513,0.574962256,0.0,0.431221692,0.66997103,0.80000712,0.935314813,0.992242422,1.0,0.974217036,0.952639401,0.993826495,0.999844394
0.001538435,0.0,0.092645225,0.382163556,0.470030688,0.487703634,0.47086836,0.483660638,0.479849461,0.479587754,0.479485047,0.475483207,0.47211573,0.450757697,0.775123949,0.994625475,1.0,1.0,1.0,0.746282288,0.333613388,0.131221028,0.017007376
0.176790292,0.177985915,0.246201311,0.492196652,0.562489596,0.570405712,0.572011556,0.573515191,0.574003742,0.569890773,0.566068698,0.548341493,0.574858978,0.510460112,0.695500673,0.862288468,0.994668029,0.998986469,0.999820375,1.0,0.790082145,0.454272402,0.0
0.180604874,0.179409948,0.238444743,0.49174863,0.56705042,0.577120284,0.573088624,0.558282905,0.556687428,0.570305543,0.572132016,0.555963002,0.495686518,0.490423287,0.718208952,0.862443384,0.999712158,1.0,0.996204678,0.803727596,0.480077985,0.0,0.234830319
