h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.438207209,0.247738608,0.179848465,0.175883019,0.190528218,0.0,0.574962256,0.561432309,0.576195671,0.576715471,0.576236791,0.575936815,0.565912503,0.571660466,0.756559048,0.862511445,1.0,0.999976165,1.0,1.0,1.0,1.0,1.0
0.0,0.004313509,0.098149021,0.4578619,0.532684231,0.582660788,0.477219868,0.479911542,0.48525988,0.484525543,0.484552537,0.48334748,0.416023388,0.395835901,0.724243801,0.943467858,1.0,1.0,1.0,0.985429088,0.481688511,0.313474194,0.136619451
0.168929914,0.180705359,0.191745621,0.431221692,0.570256625,0.562052501,0.570880886,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.447855817,0.638291268,0.86243297,0.999847154,1.0,1.0,1.0,1.0,1.0,0.986421565
0.943815832,0.314468268,0.197603632,0.195667486,0.182098202,0.314605277,0.511306003,0.731135951,0.831400189,0.943815832,0.809214218,0.786513193,0.786513193,0.881970857,0.943815832,1.0,0.883012781,0.661099487,0.621661946,0.560248716,0.0,0.226826082,0.195732068
0.465067861,0.271064468,0.181670362,0.179459222,0.173135531,0.193987286,0.0,0.0,0.529078408,0.555840204,0.519342628,0.554025676,0.564835273,0.572644465,0.695881385,0.862443384,0.996939286,0.889407053,0.937936902,1.0,1.0,0.998097576,0.770504659
0.180945769,0.180422865,0.228300254,0.464348731,0.564198776,0.575163723,0.574549288,0.567782296,0.557605261,0.567631097,0.570537822,0.553341676,0.573874008,0.507136703,0.782599,0.94548391,1.0,1.0,1.0,1.0,0.810506252,0.478914578,0.0
0.441596729,0.2746857,0.160866815,0.15728268,0.211598197,0.0,0.484703895,0.570232939,0.577364209,0.575047976,0.57460615,0.57665562,0.574966425,0.57609844,0.777458754,0.875428979,0.999975219,1.0,1.0,1.0,1.0,1.0,0.299537546
0.456612909,0.213713187,0.027446505,0.02089541,0.0,0.209865957,0.563944634,0.667984264,0.698380315,0.689039936,0.712014852,0.702826993,0.692562086,0.691775885,0.981464688,1.0,0.939380222,0.939380222,0.883891123,0.577533425,0.697996566,0.214979233,0.020845473
0.176768044,0.17838035,0.237153056,0.450968059,0.570294781,0.575773874,0.575231668,0.572852151,0.572335966,0.568808771,0.560982091,0.512622482,0.574962256,0.492225156,0.602315922,0.796929656,0.993642997,1.0,1.0,1.0,0.870637548,0.489356838,0.0
0.180384479,0.178088662,0.264421743,0.562236929,0.610278406,0.682078134,0.569873163,0.576213242,0.574936531,0.57357638,0.574918272,0.569121069,0.560824568,0.608044501,0.867488628,1.0,1.0,1.0,1.0,0.743900823,0.577804925,0.0,0.252731514
